X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,Y house price of unit area
32,84.87882,10,37.9
19.5,306.5947,9,42.2
13.3,561.9845,5,47.3
13.3,561.9845,5,54.8
5,390.5684,5,43.1
7.1,2175.03,3,32.1
34.5,623.4731,7,40.3
20.3,287.6025,6,46.7
31.7,5512.038,1,18.8
17.9,1783.18,3,22.1
34.8,405.2134,1,41.4
6.3,90.45606,9,58.1
13,492.2313,5,39.3
20.4,2469.645,4,23.8
13.2,1164.838,4,34.3
35.7,579.2083,2,50.5
0,292.9978,6,70.1
17.7,350.8515,1,37.4
16.9,368.1363,8,42.3
1.5,23.38284,7,47.7
4.5,2275.877,3,29.3
10.5,279.1726,7,51.6
14.7,1360.139,1,24.6
10.1,279.1726,7,47.9
39.6,480.6977,4,38.8
29.3,1487.868,2,27
3.1,383.8624,5,56.2
10.4,276.449,5,33.6
19.2,557.478,4,47
7.1,451.2438,5,57.1
25.9,4519.69,0,22.1
29.6,769.4034,7,25
37.9,488.5727,1,34.2
16.5,323.655,6,49.3
15.4,205.367,7,55.1
13.9,4079.418,0,27.3
14.7,1935.009,2,22.9
12,1360.139,1,25.3
3.1,577.9615,6,47.7
16.2,289.3248,5,46.2
13.6,4082.015,0,15.9
16.8,4066.587,0,18.2
36.1,519.4617,5,34.7
34.4,512.7871,6,34.1
2.7,533.4762,4,53.9
36.6,488.8193,8,38.3
21.7,463.9623,9,42
35.9,640.7391,3,61.5
24.2,4605.749,0,13.4
29.4,4510.359,1,13.2
21.7,512.5487,4,44.2
31.3,1758.406,1,20.7
32.1,1438.579,3,27
13.3,492.2313,5,38.9
16.1,289.3248,5,51.7
31.7,1160.632,0,13.7
33.6,371.2495,8,41.9
3.5,56.47425,7,53.5
30.3,4510.359,1,22.6
13.3,336.0532,5,42.4
11,1931.207,2,21.3
5.3,259.6607,6,63.2
17.2,2175.877,3,27.7
2.6,533.4762,4,55
17.5,995.7554,0,25.3
40.1,123.7429,8,44.3
1,193.5845,6,50.7
8.5,104.8101,5,56.8
30.4,464.223,6,36.2
12.5,561.9845,5,42
6.6,90.45606,9,59
35.5,640.7391,3,40.8
32.5,424.5442,8,36.3
13.8,4082.015,0,20
6.8,379.5575,10,54.4
12.3,1360.139,1,29.5
35.9,616.4004,3,36.8
20.5,2185.128,3,25.6
38.2,552.4371,2,29.8
18,1414.837,1,26.5
11.8,533.4762,4,40.3
30.8,377.7956,6,36.8
13.2,150.9347,7,48.1
25.3,2707.392,3,17.7
15.1,383.2805,7,43.7
0,338.9679,9,50.8
1.8,1455.798,1,27
16.9,4066.587,0,18.3
8.9,1406.43,0,48
23,3947.945,0,25.3
0,274.0144,1,45.4
9.1,1402.016,0,43.2
20.6,2469.645,4,21.8
31.9,1146.329,0,16.1
40.9,167.5989,5,41
8,104.8101,5,51.8
6.4,90.45606,9,59.5
28.4,617.4424,3,34.6
16.4,289.3248,5,51
6.4,90.45606,9,62.2
17.5,964.7496,4,38.2
12.7,170.1289,1,32.9
1.1,193.5845,6,54.4
0,208.3905,6,45.7
32.7,392.4459,6,30.5
0,292.9978,6,71
17.2,189.5181,8,47.1
12.2,1360.139,1,26.6
31.4,592.5006,2,34.1
4,2147.376,3,28.4
8.1,104.8101,5,51.6
33.3,196.6172,7,39.4
9.9,2102.427,3,23.1
14.8,393.2606,6,7.6
30.6,143.8383,8,53.3
20.6,737.9161,2,46.4
30.9,6396.283,1,12.2
13.6,4197.349,0,13
25.3,1583.722,3,30.6
16.6,289.3248,5,59.6
13.3,492.2313,5,31.3
13.6,492.2313,5,48
31.5,414.9476,4,32.5
0,185.4296,0,45.5
9.9,279.1726,7,57.4
1.1,193.5845,6,48.6
38.6,804.6897,4,62.9
3.8,383.8624,5,55
41.3,124.9912,6,60.7
38.5,216.8329,7,41
29.6,535.527,8,37.5
4,2147.376,3,30.7
26.6,482.7581,5,37.5
18,373.3937,8,39.5
33.4,186.9686,6,42.2
18.9,1009.235,0,20.8
11.4,390.5684,5,46.8
13.6,319.0708,6,47.4
10,942.4664,0,43.5
12.9,492.2313,5,42.5
16.2,289.3248,5,51.4
5.1,1559.827,3,28.9
19.8,640.6071,5,37.5
13.6,492.2313,5,40.1
11.9,1360.139,1,28.4
2.1,451.2438,5,45.5
0,185.4296,0,52.2
3.2,489.8821,8,43.2
16.4,3780.59,0,45.1
34.9,179.4538,8,39.7
35.8,170.7311,7,48.5
4.9,387.7721,9,44.7
12,1360.139,1,28.9
6.5,376.1709,6,40.9
16.9,4066.587,0,20.7
13.8,4082.015,0,15.6
30.7,1264.73,0,18.3
16.1,815.9314,4,35.6
11.6,390.5684,5,39.4
15.5,815.9314,4,37.4
3.5,49.66105,8,57.8
19.2,616.4004,3,39.6
16,4066.587,0,11.6
8.5,104.8101,5,55.5
0,185.4296,0,55.2
13.7,1236.564,1,30.6
0,292.9978,6,73.6
28.2,330.0854,8,43.4
27.6,515.1122,5,37.4
8.4,1962.628,1,23.5
24,4527.687,0,14.4
3.6,383.8624,5,58.8
6.6,90.45606,9,58.1
41.3,401.8807,4,35.1
4.3,432.0385,7,45.2
30.2,472.1745,3,36.5
13.9,4573.779,0,19.2
33,181.0766,9,42
13.1,1144.436,4,36.7
14,438.8513,1,42.6
26.9,4449.27,0,15.5
11.6,201.8939,8,55.9
13.5,2147.376,3,23.6
17,4082.015,0,18.8
14.1,2615.465,0,21.8
31.4,1447.286,3,21.5
20.9,2185.128,3,25.7
8.9,3078.176,0,22
34.8,190.0392,8,44.3
16.3,4066.587,0,20.5
35.3,616.5735,8,42.3
13.2,750.0704,2,37.8
43.8,57.58945,7,42.7
